id_domicilio,id_pessoa,trimestre_num,numero_entrevistas_pessoa,peso_pessoa,capital,situacao_urbana_rural,tipo_area,peso_amostral,sexo,idade,cor_raca,nivel_instrucao,numero_trabalhos,area_trabalho,grupo_atividade,grupo_ocupacao,rendimento_habitual,horas_habituais,target_informal
250031490-01-11,250031490-01-11-02,1,2,0.5,0,2,4,132.66054651,2,44,1,5,1,3,09,03,1824.0,40,0
250031490-01-11,250031490-01-11-03,1,1,1.0,0,2,4,132.66054651,2,14,4,2,1,,04,05,,2,1
250031490-03-11,250031490-03-11-01,1,2,0.5,0,2,4,146.41449977,2,46,4,4,1,3,09,04,1412.0,40,0
250031490-06-11,250031490-06-11-01,1,2,0.5,0,2,4,141.80884324,2,54,4,2,1,,06,05,100.0,50,1
250031490-06-11,250031490-06-11-02,1,2,0.5,0,2,4,141.80884324,1,32,4,2,1,,02,08,200.0,30,1
250031490-06-11,250031490-06-11-04,1,1,1.0,0,2,4,141.80884324,1,15,4,2,1,,06,05,,5,1
250031490-07-11,250031490-07-11-01,1,2,0.5,0,2,4,139.97949016,2,28,4,2,1,,02,08,600.0,25,1
250031490-07-11,250031490-07-11-03,1,2,0.5,0,2,4,139.97949016,2,26,4,2,1,,02,08,320.0,25,1
250031490-08-11,250031490-08-11-01,1,2,0.5,0,2,4,164.22792222,1,28,4,7,2,3,08,01,4800.0,60,0
250031490-08-11,250031490-08-11-02,1,2,0.5,0,2,4,164.22792222,2,29,1,6,1,,02,08,1300.0,44,1
250031490-09-11,250031490-09-11-01,1,2,0.5,0,2,4,146.07975077,2,38,4,2,1,,02,08,650.0,40,1
250031490-09-11,250031490-09-11-02,1,2,0.5,0,2,4,146.07975077,1,39,4,2,1,,02,09,1412.0,40,0
250031490-09-11,250031490-09-11-03,1,2,0.5,0,2,4,146.07975077,1,18,4,4,1,,02,08,400.0,40,1
250031490-10-11,250031490-10-11-02,1,2,0.5,0,2,4,146.76316445,2,35,4,2,2,,02,08,350.0,42,1
250031490-11-11,250031490-11-11-01,1,2,0.5,0,2,4,132.83359076,2,37,4,5,1,,01,09,350.0,40,1
250031490-11-11,250031490-11-11-02,1,2,0.5,0,2,4,132.83359076,1,40,4,2,1,,01,09,460.0,40,1
250031490-12-11,250031490-12-11-01,1,2,0.5,0,2,4,148.93247342,1,46,2,2,1,,04,07,1200.0,60,1
250031490-13-11,250031490-13-11-02,1,2,0.5,0,2,4,121.30218319,2,29,4,7,1,,02,08,200.0,40,1
250031490-14-11,250031490-14-11-01,1,2,0.5,0,2,4,158.2322698,2,47,4,7,1,3,09,02,4000.0,40,0
250031490-14-11,250031490-14-11-02,1,2,0.5,0,2,4,158.2322698,1,46,4,2,1,,05,08,10000.0,48,1
250031490-14-11,250031490-14-11-03,1,2,0.5,0,2,4,158.2322698,1,23,1,5,1,,05,08,2500.0,48,1
250031508-01-10,250031508-01-10-01,1,1,1.0,0,1,4,308.01473992,2,26,2,2,1,,11,09,600.0,44,1
250031508-01-10,250031508-01-10-04,1,1,1.0,0,1,4,308.01473992,1,29,2,2,1,,05,09,400.0,30,1
250031508-02-10,250031508-02-10-01,1,1,1.0,0,1,4,212.81057287,1,65,4,2,1,,10,04,200.0,30,1
250031508-03-10,250031508-03-10-01,1,1,1.0,0,1,4,285.19795946,1,49,4,5,1,,04,04,1700.0,44,0
250031508-03-10,250031508-03-10-02,1,1,1.0,0,1,4,285.19795946,2,46,4,3,1,3,09,09,1412.0,40,0
250031508-03-10,250031508-03-10-04,1,1,1.0,0,1,4,285.19795946,1,22,4,7,1,,04,05,1000.0,4,1
250031508-04-10,250031508-04-10-02,1,1,1.0,0,1,4,205.24170354,1,63,1,5,1,,06,05,300.0,30,1
250031508-05-10,250031508-05-10-01,1,1,1.0,0,1,4,244.49941372,1,52,4,2,1,,04,08,1412.0,44,1
250031508-06-10,250031508-06-10-02,1,1,1.0,0,1,4,237.71023449,2,45,4,2,1,,11,09,200.0,10,1
250031508-07-10,250031508-07-10-02,1,1,1.0,0,1,4,204.45818091,1,60,1,5,1,,04,05,1412.0,44,0
250031508-09-10,250031508-09-10-01,1,1,1.0,0,1,4,232.78505002,1,56,4,2,1,,04,05,300.0,25,1
250031508-10-10,250031508-10-10-01,1,1,1.0,0,1,4,278.59037497,2,57,4,7,2,2,08,02,2000.0,70,0
250031508-12-10,250031508-12-10-01,1,1,1.0,0,1,4,254.91530426,1,48,4,2,1,,04,05,1500.0,72,1
250031508-14-10,250031508-14-10-01,1,1,1.0,0,1,4,221.50776134,1,71,4,1,1,,03,07,150.0,30,1
250031517-02-11,250031517-02-11-02,1,2,0.5,0,1,2,280.15475613,2,49,1,5,1,3,09,09,1490.0,30,0
250031517-04-11,250031517-04-11-01,1,2,0.5,0,1,2,354.54655918,1,23,4,5,1,1,08,10,2000.0,44,0
250031517-04-11,250031517-04-11-02,1,1,1.0,0,1,2,354.54655918,2,55,4,5,2,,11,09,2000.0,46,0
250031517-04-11,250031517-04-11-03,1,2,0.5,0,1,2,354.54655918,1,19,1,5,1,1,08,10,1420.0,44,0
250031517-05-11,250031517-05-11-02,1,1,1.0,0,1,2,367.25802912,1,32,2,6,1,,02,05,7000.0,44,0
250031517-07-11,250031517-07-11-03,1,2,0.5,0,1,2,293.71767485,2,40,4,7,1,2,09,02,5000.0,30,0
250031517-07-11,250031517-07-11-04,1,2,0.5,0,1,2,293.71767485,1,38,1,7,1,2,09,02,3000.0,20,0
250031517-08-11,250031517-08-11-01,1,2,0.5,0,1,2,452.81392846,1,28,4,5,1,,05,08,2000.0,40,0
250031517-09-11,250031517-09-11-01,1,1,1.0,0,1,2,344.16942809,1,46,4,2,1,,04,07,1600.0,48,1
250031517-10-11,250031517-10-11-01,1,2,0.5,0,1,2,342.19653397,2,34,4,5,1,,04,04,1420.0,44,1
250031517-10-11,250031517-10-11-05,1,2,0.5,0,1,2,342.19653397,2,48,1,5,1,,11,09,1420.0,40,1
250031517-11-11,250031517-11-11-01,1,2,0.5,0,1,2,289.97671721,1,58,4,2,1,,05,09,500.0,30,1
250031517-12-11,250031517-12-11-02,1,2,0.5,0,1,2,304.1411751,2,27,1,5,1,,11,05,500.0,40,1
